Crop,State,Season,year,Area,Production,Yield,avg_temperature_2m_mean,avg_temperature_2m_max,avg_temperature_2m_min,avg_relative_humidity_2m_mean,avg_wind_speed_10m_max,avg_wind_direction_10m_dominant,avg_precipitation_sum,avg_shortwave_radiation_sum,avg_surface_pressure_mean,avg_cloud_cover_mean
Rice,Bihar,Total,2021,30.91,77.17,2496.0,25.31,31.14,20.07,64.6,1.91,224.5,3.83,15.79,99.51,54.28
Rice,Bihar,Total,2022,28.63,70.23,2453.0,25.84,32.27,20.07,60.93,1.97,212.06,2.03,16.72,99.48,46.68
Rice,Bihar,Total,2023,31.1,79.02,2541.0,26.38,32.6,20.81,57.28,2.05,225.68,2.91,16.63,99.59,46.27
Rice,Bihar,Total,2024,32.15,84.41,2625.0,26.37,32.62,20.83,59.37,2.06,214.08,2.46,16.04,99.54,51.93
Rice,Chandigarh,Kharif,2020,0.0,0.0,5500.0,22.92,29.41,17.8,55.87,1.83,250.28,3.31,18.59,96.05,45.5
Rice,Chandigarh,Kharif,2021,0.0,0.0,5500.0,23.74,30.28,18.48,52.91,1.82,250.56,3.38,18.29,96.01,49.53
Rice,Chandigarh,Kharif,2022,0.0,0.0,3950.0,23.77,29.89,18.82,59.19,1.86,256.59,3.98,18.37,95.95,41.07
Rice,Chandigarh,Kharif,2023,0.0,0.0,4979.0,23.02,29.13,18.26,60.47,1.79,253.91,4.35,18.18,96.11,42.18
Rice,Chandigarh,Rabi,2021,0.0,0.0,0.0,23.74,30.28,18.48,52.91,1.82,250.56,3.38,18.29,96.01,49.53
Rice,Chandigarh,Total,2020,0.0,0.0,5500.0,22.92,29.41,17.8,55.87,1.83,250.28,3.31,18.59,96.05,45.5
Rice,Chandigarh,Total,2021,0.0,0.0,5500.0,23.74,30.28,18.48,52.91,1.82,250.56,3.38,18.29,96.01,49.53
Rice,Chandigarh,Total,2022,0.0,0.0,3950.0,23.77,29.89,18.82,59.19,1.86,256.59,3.98,18.37,95.95,41.07
Rice,Chandigarh,Total,2023,0.0,0.0,4979.0,23.02,29.13,18.26,60.47,1.79,253.91,4.35,18.18,96.11,42.18
Rice,Chhattisgarh,Kharif,2020,37.91,71.61,1889.0,24.87,30.69,19.45,70.07,1.65,158.79,4.73,17.36,97.73,51.85
Rice,Chhattisgarh,Kharif,2021,37.59,80.22,2134.0,25.76,31.81,20.19,62.93,1.79,171.03,4.13,17.51,97.67,54.46
Rice,Chhattisgarh,Kharif,2022,37.71,98.12,2602.0,25.76,31.9,20.02,63.19,1.8,159.25,3.86,17.87,97.62,47.97
Rice,Chhattisgarh,Kharif,2023,38.22,97.03,2539.0,25.71,31.91,20.06,63.12,1.79,176.15,4.53,17.8,97.78,46.52
Rice,Chhattisgarh,Kharif,2024,39.03,85.35,2187.0,26.18,32.16,20.76,65.44,1.85,163.05,3.68,16.75,97.71,53.17
Rice,Chhattisgarh,Total,2020,37.91,71.61,1889.0,24.87,30.69,19.45,70.07,1.65,158.79,4.73,17.36,97.73,51.85
Rice,Chhattisgarh,Total,2021,37.59,80.22,2134.0,25.76,31.81,20.19,62.93,1.79,171.03,4.13,17.51,97.67,54.46
Rice,Chhattisgarh,Total,2022,37.71,98.12,2602.0,25.76,31.9,20.02,63.19,1.8,159.25,3.86,17.87,97.62,47.97
Rice,Chhattisgarh,Total,2023,38.22,97.03,2539.0,25.71,31.91,20.06,63.12,1.79,176.15,4.53,17.8,97.78,46.52
Rice,Chhattisgarh,Total,2024,39.03,85.35,2187.0,26.18,32.16,20.76,65.44,1.85,163.05,3.68,16.75,97.71,53.17
Rice,Dadra And Nagar Haveli,Kharif,2020,0.16,0.33,2078.0,26.63,33.0,21.79,66.64,2.38,207.72,6.93,18.44,98.94,42.82
Rice,Dadra And Nagar Haveli,Kharif,2021,0.16,0.33,2069.0,26.59,32.62,22.02,67.25,2.35,209.68,6.84,17.35,98.92,48.72
Rice,Dadra And Nagar Haveli,Kharif,2022,0.17,0.36,2073.0,26.33,32.89,21.46,66.15,2.56,206.51,7.47,18.1,98.92,42.08
Rice,Dadra And Nagar Haveli,Kharif,2023,0.17,0.36,2068.0,26.88,33.44,21.95,61.57,2.62,201.32,5.5,17.83,99.06,40.04
Rice,Dadra And Nagar Haveli,Rabi,2020,0.0,0.0,0.0,26.63,33.0,21.79,66.64,2.38,207.72,6.93,18.44,98.94,42.82
Rice,Dadra And Nagar Haveli,Rabi,2021,0.0,0.0,0.0,26.59,32.62,22.02,67.25,2.35,209.68,6.84,17.35,98.92,48.72
Rice,Dadra And Nagar Haveli,Total,2020,0.16,0.33,2078.0,26.63,33.0,21.79,66.64,2.38,207.72,6.93,18.44,98.94,42.82
Rice,Dadra And Nagar Haveli,Total,2021,0.16,0.33,2069.0,26.59,32.62,22.02,67.25,2.35,209.68,6.84,17.35,98.92,48.72
Rice,Dadra And Nagar Haveli,Total,2022,0.17,0.36,2073.0,26.33,32.89,21.46,66.15,2.56,206.51,7.47,18.1,98.92,42.08
Rice,Dadra And Nagar Haveli,Total,2023,0.17,0.36,2068.0,26.88,33.44,21.95,61.57,2.62,201.32,5.5,17.83,99.06,40.04
Rice,Daman And Diu,Kharif,2020,0.01,0.03,1956.0,26.81,33.14,21.98,65.99,2.42,205.78,5.69,18.69,99.45,45.87
Rice,Daman And Diu,Kharif,2021,0.01,0.03,1936.0,26.77,32.78,22.21,66.82,2.43,207.36,5.4,17.95,99.44,49.49
Rice,Daman And Diu,Rabi,2020,0.0,0.0,0.0,26.81,33.14,21.98,65.99,2.42,205.78,5.69,18.69,99.45,45.87
Rice,Daman And Diu,Rabi,2021,0.0,0.0,0.0,26.77,32.78,22.21,66.82,2.43,207.36,5.4,17.95,99.44,49.49
Rice,Daman And Diu,Total,2020,0.01,0.03,1956.0,26.81,33.14,21.98,65.99,2.42,205.78,5.69,18.69,99.45,45.87
Rice,Daman And Diu,Total,2021,0.01,0.03,1936.0,26.77,32.78,22.21,66.82,2.43,207.36,5.4,17.95,99.44,49.49
Rice,Delhi,Kharif,2020,0.06,0.2,3200.0,24.94,32.21,18.75,49.35,1.87,241.92,1.85,17.29,98.19,44.78
Rice,Delhi,Kharif,2021,0.06,0.19,3106.0,24.68,31.59,18.72,53.27,1.8,202.76,3.0,16.86,98.14,48.56
Rice,Delhi,Kharif,2022,0.06,0.17,3067.0,25.47,32.71,19.36,52.88,1.9,226.42,2.18,17.15,98.08,42.16
Rice,Delhi,Kharif,2023,0.06,0.17,3067.0,24.85,32.05,18.9,52.76,1.82,226.65,2.15,16.74,98.25,42.52
Rice,Delhi,Rabi,2021,0.0,0.0,0.0,24.68,31.59,18.72,53.27,1.8,202.76,3.0,16.86,98.14,48.56
Rice,Delhi,Total,2020,0.06,0.2,3200.0,24.94,32.21,18.75,49.35,1.87,241.92,1.85,17.29,98.19,44.78
Rice,Delhi,Total,2021,0.06,0.19,3106.0,24.68,31.59,18.72,53.27,1.8,202.76,3.0,16.86,98.14,48.56
Rice,Delhi,Total,2022,0.06,0.17,3067.0,25.47,32.71,19.36,52.88,1.9,226.42,2.18,17.15,98.08,42.16
Rice,Delhi,Total,2023,0.06,0.17,3067.0,24.85,32.05,18.9,52.76,1.82,226.65,2.15,16.74,98.25,42.52
Rice,Goa,Kharif,2020,0.23,0.62,2627.0,25.21,30.9,20.88,75.36,1.18,205.0,7.51,17.92,95.9,55.13
Rice,Goa,Kharif,2021,0.23,0.66,2816.0,25.09,30.45,20.96,77.11,1.13,195.96,6.77,17.34,95.89,59.9
Rice,Goa,Kharif,2022,0.23,0.63,2789.0,24.82,30.56,20.51,75.52,1.16,204.31,5.32,17.46,95.87,56.85
Rice,Goa,Kharif,2023,0.23,0.68,2890.0,25.81,32.21,20.84,67.95,1.2,186.78,4.86,18.71,95.99,47.87
Rice,Goa,Rabi,2020,0.09,0.26,2790.0,25.21,30.9,20.88,75.36,1.18,205.0,7.51,17.92,95.9,55.13
